ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ffffff ebebeb ebebeb ebebeb ebebeb ebebeb eaeaea eaeaea eaeaea eaeaea eaeaea eaeaea ebebeb ebebeb ebebeb ebebeb ebebeb adadad adadad adadad adadad adadad acacac a9a9a9 a8a8a8 a8a8a8 a9a9a9 acacac adadad adadad adadad adadad adadad
606060 606060 606060 606060 606060 5d5d5d 585858 565656 565656 585858 5d5d5d 606060 606060 606060 606060 606060 181818 181818 181818 181818 181818 161616 131313 111111 111111 131313 161616 181818 181818 181818 181818 181818 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 121212 1e1e1e 1e1e1e 121212 000000 000000 000000 000000 000000 000000
000000 000000 000000 000000 000000 040404 3a3a3a 505050 505050 3a3a3a 040404 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 1a1a1a 636363 7e7e7e 7e7e7e 636363 1a1a1a 000000 000000 000000 000000 000000 010101 010101 010101 010101 050505 333333 7b7b7b 919191 919191 7b7b7b 333333 050505 010101 010101 010101 010101 010101 010101 010101 000000 111111 565656 8d8d8d 939393 939393 8d8d8d 565656 111111 000000 010101 010101 010101
010101 010101 010101 000000 202020 7f7e7f 9c9c9c 8e8d8e 8e8d8e 9c9c9c 7f7e7f 202020 000000 010101 010101 010101 010101 010101 010101 000000 343434 a4a3a4 ababab 8b8b8b 8b8b8b ababab a4a3a4 343434 000000 010101 010101 010101 010101 010101 010101 020202 4f4f4f c1c1c1 bcbcbc 949394 949394 bcbcbc c1c1c1 4f4f4f 020202 010101 010101 010101 010101 010101 010101 060606 747474 e0e0e1 d1d1d1 a4a3a4 a4a3a4 d1d1d1 e0e0e1 747474 060606 010101 010101 010101
010101 010101 010101 0a0a0a 9d9c9d f9fafa e6e6e6 b7b7b7 b7b7b7 e6e6e6 f9fafa 9d9c9d 0a0a0a 010101 010101 010101 010101 010101 010101 111111 c1c0c1 ffffff f7f7f7 cacaca cacaca f7f7f7 ffffff c1c0c1 111111 010101 010101 010101 010101 010101 010101 1a1a1a d8d7d8 eceaea ffffff d7d8d7 d7d8d7 ffffff eceaea d8d7d8 1a1a1a 010101 010101 010101 010101 010101 010101 272727 e5e4e5 ada6a6 ffffff e2eae3 e2eae3 ffffff ada6a6 e5e4e5 272727 010101 010101 010101
000000 000000 000000 353535 ebebeb 615555 fcfcfc eaf8ed eaf8ed fcfcfc 615555 ebebeb 353535 000000 000000 000000 000000 000000 000000 424242 efefef 2b1a1a f8f8f8 f1faf3 f1faf3 f8f8f8 2b1a1a efefef 424242 000000 000000 000000 000000 000000 000000 4b4b4b f2f2f2 291919 f6f6f6 f7e7f4 f7e7f4 f6f6f6 291919 f2f2f2 4b4b4b 000000 000000 000000 000000 000000 000000 535253 f3f2f3 5c5050 f5f5f5 fcbdf2 fcbdf2 f5f5f5 5c5050 f3f3f3 535253 000000 000000 000000
000000 000000 000000 585758 f1f0f1 a49e9e f3f3f3 ff87eb ff87eb f3f3f3 a49e9e f1f1f1 585758 000000 000000 000000 000000 000000 000000 5c5b5c eeedee e3e2e2 f1f1f1 ff56e2 ff56e2 f1f1f1 e3e2e2 efeeef 5c5b5c 000000 000000 000000 000000 000000 050505 5f5e5f ecebec ffffff efefef fd34d6 fd34d6 efefef ffffff edeced 5f5e5f 050505 000000 000000 000000 000000 151515 616061 eae9ea ffffff eeedee f315c0 f315c0 eeedee ffffff ebeaeb 616061 151515 000000 000000
000000 000000 272727 616061 e8e7e8 f6f6f6 ecebec e800a9 e800a9 ecebec f6f6f7 e9e8e9 616061 272727 000000 000000 000000 000000 343434 605f60 e6e5e6 e9e9e9 eae9ea df009a df009a eae9ea eae9ea e6e5e6 605f60 343434 000000 000000 000000 000000 343434 605f60 e4e3e4 e4e3e4 e8e7e8 dd119d dd119d e8e7e8 e5e4e5 e4e3e4 605f60 343434 000000 000000 000000 000000 272727 5e5e5e e1e0e1 e2e1e2 e6e5e6 e24fb3 e24fb3 e6e5e6 e3e2e3 e1e0e1 5e5e5e 272727 000000 000000
000000 000000 151515 5c5c5c deddde dfdedf e3e2e3 ea9bd1 ea9bd1 e3e2e3 e0dfe0 deddde 5c5c5c 151515 000000 000000 000000 000000 050505 5a5b5a dbdadb dddcdd e0dfe0 efdce9 efdce9 e0dfe0 deddde dbdadb 5a5b5a 050505 000000 000000 000000 000000 000000 585958 d7d6d7 d9d8d9 dedcde eff8f2 eff8f2 deddde dad9da d7d6d7 585958 000000 000000 000000 000000 000000 000000 565856 d2d1d2 d6d5d6 dbd9db e9f8ee eaf9ef dbdadb d7d6d7 d3d2d3 565856 000000 000000 000000
000000 000000 000000 535653 cdcccd d2d1d2 d7d6d7 e1eae4 e2ebe5 d8d6d8 d3d2d3 cecdce 535653 000000 000000 000000 000000 000000 000000 515351 c8c7c8 cecdce d4d2d4 d9dada dadbdb d5d3d5 cfcecf c9c8c9 515351 000000 000000 000000 000000 000000 000000 4d514d c4c3c4 cac9ca d0ced0 d3d2d3 d4d3d4 d1cfd1 cbcacb c5c4c5 4d514d 000000 000000 000000 000000 000000 000000 4a4e4a bec3c0 c6c7c6 cac9ca cdcccd cdcccd cbcacb c6c8c7 bfc3c1 4a4e4a 000000 000000 000000
000000 000000 000000 474b47 b9c1bc c1c4c2 c5c4c5 c7c6c7 c7c6c7 c5c4c5 c2c5c3 bac2bd 474b47 000000 000000 000000 000000 000000 000000 414741 b5bbb7 bec1bf c0c0c0 c2c1c2 c2c2c2 c1c0c1 bec1bf b5bbb7 414741 000000 000000 000000 000000 000000 000000 393e39 b1aaae bdbbbc bebfbe bfbfbf bfbfbf bebfbe bdbbbc b1aaae 393e39 000000 000000 000000 000000 000000 000000 29312b ac8e9f bdb7ba bec2bf bdbebd bdbebd bec1be bdb7ba ab8e9f 29322b 000000 000000 000000
